id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
28144,ZWTC,small_airport,Tacheng Qianquan Airport,46.672501,83.340797,,AS,CN,CN-65,Tacheng,yes,ZWTC,TCG,ZWTC,,,https://en.wikipedia.org/wiki/Tacheng_Airport,
314799,ZWTL,medium_airport,Turpan Jiaohe Airport,43.0308,89.0987,934,AS,CN,CN-65,Turpan,yes,ZWTL,TLQ,ZWTL,,,https://en.wikipedia.org/wiki/Turpan_Jiaohe_Airport,
27236,ZWWW,large_airport,Ürümqi Tianshan International Airport,43.907101,87.474197,2125,AS,CN,CN-65,Ürümqi,yes,ZWWW,URC,ZWWW,,,https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Tianshan_International_Airport,
32725,ZWYN,small_airport,Yining Airport,43.955799,81.330299,,AS,CN,CN-65,Ili (Yining / Ghulja),yes,ZWYN,YIN,ZWYN,,,https://en.wikipedia.org/wiki/Yining_Airport,"Ghulja, Ili"
342843,ZWYT,small_airport,Yutian Wanfang Airport,36.8085,81.7827,4731,AS,CN,CN-65,Hotan (Yutian),yes,ZWYT,YTW,ZWYT,YTW,,https://en.wikipedia.org/wiki/Yutian_Wanfang_Airport,
316519,ZYBA,medium_airport,Baicheng Chang'an Airport,45.505278,123.019722,480,AS,CN,CN-22,Baicheng,yes,ZYBA,DBC,ZYBA,,,https://en.wikipedia.org/wiki/Baicheng_Chang%27an_Airport,
300544,ZYBS,medium_airport,Changbaishan Airport,42.066944,127.602222,2874,AS,CN,CN-22,Baishan,yes,ZYBS,NBS,ZYBS,,,https://en.wikipedia.org/wiki/Changbaishan_Airport,
27237,ZYCC,large_airport,Changchun Longjia International Airport,43.996201,125.684998,706,AS,CN,CN-22,Changchun,yes,ZYCC,CGQ,ZYCC,,,https://en.wikipedia.org/wiki/Changchun_Longjia_International_Airport,
300858,ZYCH,medium_airport,Changhai Airport,39.266667,122.666944,80,AS,CN,CN-21,Dalian (Changhai),yes,ZYCH,CNI,ZYCH,,,https://en.wikipedia.org/wiki/Changhai_Airport,
30827,ZYCY,medium_airport,Chaoyang Airport,41.538101,120.434998,568,AS,CN,CN-21,"Shuangta, Chaoyang",yes,ZYCY,CHG,ZYCY,,,https://en.wikipedia.org/wiki/Chaoyang_Airport,
44267,ZYDD,medium_airport,Dandong Langtou Airport,40.025453,124.28669,30,AS,CN,CN-21,Dandong (Zhenxing),yes,ZYDD,DDG,ZYDD,,http://www.ddcei.gov.cn/english/index.html,https://en.wikipedia.org/wiki/Dandong_Airport,
300323,ZYDQ,small_airport,Daqing Sartu Airport,46.750883,125.138642,496,AS,CN,CN-23,Daqing,yes,ZYDQ,DQA,ZYDQ,,,https://en.wikipedia.org/wiki/Daqing_Sartu_Airport,
313994,ZYFY,medium_airport,Fuyuan Dongji Airport,48.197219,134.36298,,AS,CN,CN-23,Fuyuan,yes,ZYFY,FYJ,ZYFY,,,https://en.wikipedia.org/wiki/Fuyuan_Dongji_Airport,
27238,ZYHB,large_airport,Harbin Taiping International Airport,45.623402,126.25,457,AS,CN,CN-23,Harbin,yes,ZYHB,HRB,ZYHB,,,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,
31576,ZYHE,medium_airport,Heihe Aihui Airport,50.171621,127.308884,1047,AS,CN,CN-23,Heihe,yes,ZYHE,HEK,ZYHE,,,https://en.wikipedia.org/wiki/Heihe_Aihui_Airport,
301009,ZYJD,medium_airport,Daxing'anling Elunchun Airport,50.371389,124.1175,1205,AS,CN,CN-23,Jiagedaqi,yes,ZYJD,JGD,ZYJD,,,https://en.wikipedia.org/wiki/Daxing%27anling_Elunchun_Airport,"Jagdaqi, Jiagedaqi"
31701,ZYJL,small_airport,Jilin Ertaizi Airport,44.002652,126.395244,,AS,CN,CN-22,Jilin,no,ZYJL,JIL,ZYJL,,,https://en.wikipedia.org/wiki/Jilin_Ertaizi_Airport,
27239,ZYJM,medium_airport,Jiamusi Dongjiao Airport,46.843399,130.464996,262,AS,CN,CN-23,Jiamusi,yes,ZYJM,JMU,ZYJM,,,https://en.wikipedia.org/wiki/Jiamusi_Dongjiao_Airport,
327450,ZYJS,medium_airport,Jiansanjiang Shidi Airport,47.108248,132.65792,,AS,CN,CN-23,Jiansanjiang,yes,ZYJS,JSJ,ZYJS,,,https://en.wikipedia.org/wiki/Jiansanjiang_Airport,
313337,ZYJX,medium_airport,Jixi Xingkaihu Airport,45.293,131.193,760,AS,CN,CN-23,Jixi,yes,ZYJX,JXA,ZYJX,,,https://en.wikipedia.org/wiki/Jixi_Xingkaihu_Airport,
339959,ZYJZ,medium_airport,Jinzhou Bay Airport,40.936032,121.277114,,AS,CN,CN-21,Jinzhou (Linghai),yes,ZYJZ,JNZ,ZYJZ,,,https://en.wikipedia.org/wiki/Jinzhou_Bay_Airport,
307012,ZYLD,medium_airport,Yichun Lindu Airport,47.752056,129.019125,791,AS,CN,CN-23,Yichun,yes,ZYLD,LDS,ZYLD,,,https://en.wikipedia.org/wiki/Yichun_Lindu_Airport,Yichun Shi Airport
27240,ZYMD,medium_airport,Mudanjiang Hailang International Airport,44.52410126,129.5690002,883,AS,CN,CN-23,Mudanjiang,yes,ZYMD,MDG,ZYMD,,,https://en.wikipedia.org/wiki/Mudanjiang_Airport,Mudanjiang
301193,ZYMH,medium_airport,Mohe Gulian Airport,52.916871,122.422759,1836,AS,CN,CN-23,Mohe,yes,ZYMH,OHE,ZYMH,,,https://en.wikipedia.org/wiki/Mohe_Gulian_Airport,
27241,ZYQQ,medium_airport,Qiqihar Sanjiazi Airport,47.23960114,123.9179993,477,AS,CN,CN-23,Qiqihar,yes,ZYQQ,NDG,ZYQQ,,,https://en.wikipedia.org/wiki/Qiqihar_Airport,
327451,ZYSQ,medium_airport,Songyuan Chaganhu Airport,44.938114,124.550178,459,AS,CN,CN-22,Qian Gorlos Mongol Autonomous County,yes,ZYSQ,YSQ,ZYSQ,,,https://en.wikipedia.org/wiki/Songyuan_Chaganhu_Airport,
